corpus	app	file	module_outcome	n_exports	n_compiled	n_skipped
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@string_tree.beam	loaded	20	17	3
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@uri.beam	loaded	11	6	5
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam_json_ffi.beam	loaded	12	7	5
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam_stdlib.beam	loaded	49	7	42
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/actor_spike.beam	loaded	5	2	3
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/gleam@bit_array.beam	loaded	20	10	10
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/gleam@dict.beam	loaded	23	13	10
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/gleam@dynamic.beam	loaded	12	11	1
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/gleam@dynamic@decode.beam	loaded	27	3	24
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/gleam@erlang@process.beam	loaded	47	26	21
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/gleam@float.beam	loaded	29	13	16
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/gleam@int.beam	loaded	38	15	23
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/gleam@list.beam	loaded	67	10	57
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/gleam@otp@actor.beam	loaded	16	10	6
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/gleam@result.beam	loaded	19	2	17
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/gleam@string.beam	loaded	41	17	24
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/gleam@string_tree.beam	loaded	20	17	3
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/gleam_erlang_ffi.beam	loaded	27	4	23
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/gleam_otp_external.beam	loaded	7	5	2
FIXTURES	gleam_otp_spike/beams	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_otp_spike/beams/gleam_stdlib.beam	loaded	49	7	42
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/guard_bif_probe.beam	loaded	3	2	1
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/hello.beam	loaded	4	3	1
FIXTURES	hot_code	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/hot_code/closure_test_v1.beam	loaded	5	3	2
FIXTURES	hot_code	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/hot_code/closure_test_v2.beam	loaded	5	3	2
FIXTURES	hot_code	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/hot_code/counter_v1.beam	loaded	4	3	1
FIXTURES	hot_code	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/hot_code/counter_v2.beam	loaded	4	3	1
FIXTURES	hot_code	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/hot_code/deferred_caller.beam	loaded	3	3	0
FIXTURES	hot_code	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/hot_code/on_load_crash.beam	loaded	4	3	1
FIXTURES	hot_code	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/hot_code/on_load_ok.beam	loaded	4	3	1
FIXTURES	hot_code	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/hot_code/spawn_parent.beam	loaded	5	5	0
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/if_probe.beam	loaded	5	3	2
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/is_function2_guard.beam	loaded	6	2	4
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/is_function_bif.beam	loaded	9	4	5
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/jit_badarith.beam	loaded	4	4	0
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/jit_countdown_loop.beam	loaded	4	4	0
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/jit_real_function.beam	loaded	4	3	1
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/mfa_provenance.beam	loaded	3	2	1
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/monitor_down_probe.beam	loaded	4	3	1
FIXTURES	otp	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/otp/gleam@erlang@process.beam	loaded	47	23	24
FIXTURES	otp	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/otp/gleam@otp@actor.beam	loaded	9	6	3
FIXTURES	otp	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/otp/gleam@otp@supervisor.beam	loaded	10	5	5
FIXTURES	otp	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/otp/gleam_erlang_ffi.beam	loaded	34	3	31
FIXTURES	otp	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/otp/gleam_otp_external.beam	loaded	5	3	2
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/proof.beam	loaded	7	5	2
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/recv_after_timer.beam	loaded	4	2	2
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/recv_jit.beam	loaded	5	2	3
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/recv_marker_fixture.beam	loaded	3	2	1
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/recv_marker_timeout_fixture.beam	loaded	3	2	1
FIXTURES	stdlib	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/stdlib/lists.beam	loaded	6	2	4
FIXTURES	stdlib	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/stdlib/maps_hof.beam	loaded	4	2	2
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/suspend_binary_fixture.beam	loaded	3	2	1
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/suspend_reexec_fixture.beam	loaded	4	2	2
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/suspend_reexec_helper.beam	loaded	3	3	0
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/tagged_tuple_patterns.beam	loaded	4	2	2
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1_db.beam	loaded	11	2	9
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct.beam	loaded	45	2	43
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_check.beam	loaded	5	2	3
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_constructed_ber_bin_v2.beam	loaded	10	2	8
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_constructed_per.beam	loaded	10	2	8
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_eval_ext.beam	loaded	4	3	1
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_func.beam	loaded	13	3	10
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_gen.beam	loaded	26	6	20
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_gen_ber_bin_v2.beam	loaded	17	3	14
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_gen_check.beam	loaded	3	2	1
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_gen_jer.beam	loaded	23	12	11
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_gen_per.beam	loaded	14	4	10
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_imm.beam	loaded	47	4	43
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_name.beam	loaded	9	2	7
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_parser2.beam	loaded	4	2	2
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_partial_decode.beam	loaded	4	2	2
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_pretty_format.beam	loaded	3	2	1
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_rtt.beam	loaded	5	3	2
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_table.beam	loaded	11	2	9
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_tok.beam	loaded	4	2	2
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1ct_value.beam	loaded	3	2	1
OTP_STDLIB	asn1-5.5	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/asn1-5.5/ebin/asn1rt_nif.beam	loaded	5	2	3
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct.beam	loaded	74	42	32
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_config.beam	loaded	30	2	28
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_config_plain.beam	loaded	4	2	2
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_config_xml.beam	loaded	4	2	2
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_conn_log_h.beam	loaded	7	3	4
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_cover.beam	loaded	6	3	3
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_default_gl.beam	loaded	9	5	4
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_doctest.beam	loaded	8	2	6
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_event.beam	loaded	17	8	9
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_framework.beam	loaded	19	6	13
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_ftp.beam	loaded	18	2	16
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_gen_conn.beam	loaded	21	5	16
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_groups.beam	loaded	9	2	7
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_hooks.beam	loaded	11	2	9
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_hooks_lock.beam	loaded	12	5	7
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_logs.beam	loaded	45	2	43
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_make.beam	loaded	6	2	4
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_master.beam	loaded	18	3	15
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_master_event.beam	loaded	14	8	6
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_master_logs.beam	loaded	7	2	5
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_master_status.beam	loaded	8	6	2
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_netconfc.beam	loaded	59	2	57
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_property_test.beam	loaded	14	2	12
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_release_test.beam	loaded	8	2	6
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_repeat.beam	loaded	4	2	2
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_rpc.beam	loaded	10	2	8
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_run.beam	loaded	18	2	16
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_slave.beam	loaded	10	2	8
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_snmp.beam	loaded	20	4	16
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_ssh.beam	loaded	82	2	80
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_suite.beam	loaded	3	2	1
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_telnet.beam	loaded	29	3	26
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_telnet_client.beam	loaded	11	2	9
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_testspec.beam	loaded	11	2	9
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/ct_util.beam	loaded	66	4	62
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/cte_track.beam	loaded	8	5	3
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/cth_conn_log.beam	loaded	5	2	3
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/cth_log_redirect.beam	loaded	22	8	14
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/cth_surefire.beam	loaded	20	3	17
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/erl2html2.beam	loaded	4	2	2
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/test_server.beam	loaded	63	8	55
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/test_server_ctrl.beam	loaded	85	3	82
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/test_server_gl.beam	loaded	16	6	10
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/test_server_io.beam	loaded	20	3	17
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/test_server_node.beam	loaded	9	2	7
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/test_server_sup.beam	loaded	30	2	28
OTP_STDLIB	common_test-1.31.1	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/common_test-1.31.1/ebin/unix_telnet.beam	loaded	4	2	2
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_a.beam	loaded	3	2	1
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_asm.beam	loaded	4	2	2
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_block.beam	loaded	3	2	1
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_bounds.beam	loaded	7	2	5
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_call_types.beam	loaded	5	2	3
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_clean.beam	loaded	3	2	1
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_core_to_ssa.beam	loaded	4	2	2
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_dict.beam	loaded	26	5	21
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_disasm.beam	loaded	5	3	2
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_doc.beam	loaded	4	2	2
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_flatten.beam	loaded	3	2	1
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_jump.beam	loaded	4	2	2
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_listing.beam	loaded	3	2	1
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_opcodes.beam	loaded	5	4	1
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_ssa.beam	loaded	38	5	33
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_ssa_alias.beam	loaded	3	2	1
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_ssa_bc_size.beam	loaded	3	2	1
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_ssa_bool.beam	loaded	3	2	1
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_ssa_bsm.beam	loaded	4	2	2
OTP_STDLIB	compiler-10.0.2	/opt/homebrew/Cellar/erlang/29.0.3/lib/erlang/lib/compiler-10.0.2/ebin/beam_ssa_check.beam	loaded	4	2	2
